species,gen,rank,time,speed,turn speed,sight,type,size,starting hunger,low mutation boundary,mutation range
predator,1,1,11.850999999999999,5.081787872137638,15.07393480168276,19.812263231911842,1,100,25.358484282291037,0,0.5299858378581839
predator,1,2,11.805,5.186932549671862,15.093537618218635,19.912046033446835,1,100,25.4351480351654,0,0.5299858378581839
predator,1,3,11.747,5.3272198812033915,15,19.879222365884466,3,100,25.2335196110472,0,0.5299858378581839
predator,2,1,13.365,5.405414863760806,14.909416859577997,19.1770511076409,2,100,25.544356511951527,0,0.5299858378581839
predator,2,2,13.232999999999999,5.405414863760806,14.909416859577997,19.1770511076409,2,100,25.544356511951527,0,0.5299858378581839
predator,2,3,11.583000000000002,5.175713676411969,15,19.86883517146311,3,100,25.19265754700886,0,0.5299858378581839
predator,3,1,13.332999999999998,4.939327880256402,14.889240530142775,20.25558796237455,2,100,25.27445571713912,0,0.5299858378581839
predator,3,2,13.234000000000002,4.939327880256402,14.889240530142775,20.25558796237455,2,100,25.27445571713912,0,0.5299858378581839
predator,3,3,11.715999999999998,4.873849212382183,15,20.310829789091287,2,100,25.317458770707606,0,0.5299858378581839
predator,4,1,16.666000000000004,4.891840315835012,14.910141797656669,20.298997279851662,3,100,25.511248009652878,0,0.5299858378581839
predator,4,2,16.534000000000006,4.795195959412516,14.906508935416756,20.12158680521469,1,100,25.18299821789915,0,0.5299858378581839
predator,4,3,11.649000000000001,4.923222483849982,15,20.11670739331557,3,100,25.39516462182406,0,0.5299858378581839
predator,5,1,14.916000000000004,4.853936359069994,14.941159880070202,20.87001182823419,3,100,25.251704585952005,0,0.5299858378581839
predator,5,2,13.365999999999993,4.853936359069994,14.941159880070202,20.87001182823419,3,100,25.251704585952005,0,0.5299858378581839
predator,5,3,13.199999999999996,4.7097661217476885,15,20.299369155210268,1,100,25.051232150092662,0,0.5299858378581839
predator,6,1,19.766000000000005,5.203204561625116,14.809627475161228,20.887912751441863,3,100,24.767768868261413,0,0.5299858378581839
predator,6,2,14.816000000000003,5.203204561625116,14.809627475161228,20.887912751441863,3,100,24.767768868261413,0,0.5299858378581839
predator,6,3,13.199000000000012,5.203204561625116,15,20.887912751441863,3,100,24.767768868261413,0,0.5299858378581839
predator,7,1,14.814999999999998,5.337971721741986,14.95596923228998,20.9060469074378,3,100,24.917962313456385,0,0.5299858378581839
predator,7,2,13.165000000000006,5.231844497179714,15.090445407233203,20.763740422628604,3,100,24.92057885583568,0,0.5299858378581839
predator,7,3,11.418999999999997,5.308646584632752,15,20.937165767676667,1,100,24.66963089890542,0,0.5299858378581839
predator,8,1,13.168999999999997,5.448974951894597,14.798165942794302,20.967776059069205,1,100,24.946393381902695,0,0.5299858378581839
predator,8,2,13.165999999999997,5.513771517828098,14.841872803679767,21.006976310456498,2,100,24.996037588576858,0,0.5299858378581839
predator,8,3,11.581999999999994,5.513771517828098,15,21.006976310456498,2,100,24.996037588576858,0,0.5299858378581839
predator,9,1,13.26700000000001,5.419221347315519,14.600765401644834,21.405359073921524,1,100,25.00038880419744,0,0.5299858378581839
predator,9,2,13.198000000000008,5.455121738768127,15.151804487886405,20.828058165769097,1,100,24.8302206325053,0,0.5299858378581839
predator,9,3,11.514999999999986,5.455121738768127,15,20.828058165769097,1,100,24.8302206325053,0,0.5299858378581839
predator,10,1,17.98599999999999,5.375079166021229,14.470070953858087,21.176600613165736,2,100,24.561523317829064,0,0.5299858378581839
predator,10,2,14.71799999999999,4.867055605771719,15.411264807236893,21.11748374682481,3,100,24.67522089950592,0,0.5299858378581839
predator,10,3,11.453000000000003,4.867055605771719,15,21.11748374682481,3,100,24.67522089950592,0,0.5299858378581839
predator,11,1,13.135999999999996,5.619006281797625,14.500011649268252,21.416037320536226,1,100,24.84416303732586,0,0.5299858378581839
predator,11,2,11.350999999999999,4.7229195770133385,14.845241286057274,20.524284653369012,3,100,24.478823990967445,0,0.5299858378581839
predator,11,3,11.283999999999992,4.7229195770133385,15,20.524284653369012,3,100,24.478823990967445,0,0.5299858378581839
predator,12,1,14.75,4.478777814701013,14.940636784813904,20.731373027753126,2,100,24.73728052568969,0,0.5299858378581839
predator,12,2,14.683999999999997,4.478777814701013,14.940636784813904,20.731373027753126,2,100,24.73728052568969,0,0.5299858378581839
predator,12,3,13.166000000000025,4.478777814701013,15,20.731373027753126,2,100,24.73728052568969,0,0.5299858378581839
predator,13,1,19.701999999999998,4.341035796326372,14.488992122591673,20.583555817825005,2,100,24.787945593566253,0,0.5299858378581839
predator,13,2,11.451999999999998,4.341035796326372,14.488992122591673,20.583555817825005,2,100,24.787945593566253,0,0.5299858378581839
predator,13,3,11.319999999999993,4.088526693483899,15,20.431657887554035,3,100,24.396808467036266,0,0.5299858378581839
predator,14,1,17.950999999999993,4.56377059209977,14.263422278556698,20.05082991154298,2,100,24.417795598180934,0,0.5299858378581839
predator,14,2,13.105000000000018,4.188449977968192,14.83768953471505,20.45324574870326,1,100,24.752504722427258,0,0.5299858378581839
predator,14,3,13.039000000000016,4.706373268944187,15,20.204612375949896,3,100,24.561388538690938,0,0.5299858378581839
predator,15,1,14.817000000000007,4.044444893930015,14.951430398481701,20.573718704657978,2,100,24.891396019954378,0,0.5299858378581839
predator,15,2,13.006,4.044444893930015,14.951430398481701,20.573718704657978,2,100,24.891396019954378,0,0.5299858378581839
predator,15,3,11.582999999999998,4.044444893930015,15,20.573718704657978,2,100,24.891396019954378,0,0.5299858378581839
predator,16,1,17.918000000000006,3.3453445224670015,14.816419455547724,20.537612129722636,3,100,24.353258759153604,0,0.5299858378581839
predator,16,2,9.831999999999994,3.824382730862474,15.634492723172663,20.290492761390283,2,100,24.854534461118764,0,0.5299858378581839
predator,16,3,9.733000000000004,3.824382730862474,15,20.290492761390283,2,100,24.854534461118764,0,0.5299858378581839
predator,17,1,15.014999999999986,3.0880336331033553,14.829293978135432,21.008794179196947,3,100,25.598970645077795,0,0.5299858378581839
predator,17,2,11.48399999999998,3.7045233374759414,16.48720088529441,20.62315649247414,2,100,24.802694967954825,0,0.5299858378581839
predator,17,3,11.451000000000022,3.7045233374759414,15,20.62315649247414,2,100,24.802694967954825,0,0.5299858378581839
predator,18,1,20.062999999999988,3.4282847172300075,15.05176855127731,21.1073920528045,3,100,25.6026339176058,0,0.5299858378581839
predator,18,2,11.850000000000023,3.4282847172300075,15.05176855127731,21.1073920528045,3,100,25.6026339176058,0,0.5299858378581839
predator,18,3,10.164999999999964,3.3965994006145874,15,21.0847100445207,3,100,25.647554546721953,0,0.5299858378581839
predator,19,1,23.464,3.6332691948027818,14.871328685828493,20.727482769415133,2,100,25.97385234248581,0,0.5299858378581839
predator,19,2,16.66500000000002,3.209005094101566,15.165841063262281,21.521407584455442,3,100,25.327810839333733,0,0.5299858378581839
predator,19,3,11.814000000000021,3.209005094101566,15,21.521407584455442,3,100,25.327810839333733,0,0.5299858378581839
predator,20,1,18.247000000000014,3.2112754195214586,15.02956596030934,21.37495599583087,3,100,25.345244137850926,0,0.5299858378581839
predator,20,2,16.598000000000013,3.2112754195214586,15.02956596030934,21.37495599583087,3,100,25.345244137850926,0,0.5299858378581839
predator,20,3,11.713000000000022,3.2112754195214586,15,21.37495599583087,3,100,25.345244137850926,0,0.5299858378581839
predator,21,1,13.463999999999999,3.7075201284165393,15.510376639808417,21.139863063224865,2,100,25.6096053197784,0,0.5299858378581839
predator,21,2,11.583000000000027,3.7075201284165393,15.510376639808417,21.139863063224865,2,100,25.6096053197784,0,0.5299858378581839
predator,21,3,10.129999999999995,3.281108021502324,15,21.136877992954982,2,100,25.54494873834568,0,0.5299858378581839
predator,22,1,16.599000000000046,3.7717637705912863,15.122768811437828,20.82812808124311,2,100,25.36786196516881,0,0.5299858378581839
predator,22,2,15.01600000000002,3.7717637705912863,15.122768811437828,20.82812808124311,2,100,25.36786196516881,0,0.5299858378581839
predator,22,3,13.26600000000002,3.7717637705912863,15,20.82812808124311,2,100,25.36786196516881,0,0.5299858378581839
predator,23,1,15.014999999999986,3.73295528691942,15.124011893133094,20.72531026597169,2,100,25.405524878632214,0,0.5299858378581839
predator,23,2,13.365000000000009,3.73295528691942,15.124011893133094,20.72531026597169,2,100,25.405524878632214,0,0.5299858378581839
predator,23,3,11.74799999999999,3.73295528691942,15,20.72531026597169,2,100,25.405524878632214,0,0.5299858378581839
predator,24,1,13.461999999999989,3.6142226177761305,14.81320758048705,20.491940834916743,3,100,25.75223367395652,0,0.5299858378581839
predator,24,2,10.230999999999995,3.459614798254561,14.957242187932836,20.116751154113388,1,100,25.98659758082981,0,0.5299858378581839
predator,24,3,10.196000000000026,3.459614798254561,15,20.116751154113388,1,100,25.98659758082981,0,0.5299858378581839
predator,25,1,13.595999999999947,3.442913607443622,15.089300352627745,20.33993723916247,1,100,26.230273672043054,0,0.5299858378581839
predator,25,2,13.529999999999973,2.9951746842400437,15.057593125438114,19.989634958820982,2,100,26.09230685291076,0,0.5299858378581839
predator,25,3,11.813999999999965,2.9951746842400437,15,19.989634958820982,2,100,26.09230685291076,0,0.5299858378581839
predator,26,1,26.961000000000013,3.1321986228380863,15.14320219017095,19.98659003391531,1,100,26.6940734475409,0,0.5299858378581839
predator,26,2,13.596000000000004,3.1321986228380863,15.14320219017095,19.98659003391531,1,100,26.6940734475409,0,0.5299858378581839
predator,26,3,12.012,3.1321986228380863,15,19.98659003391531,1,100,26.6940734475409,0,0.5299858378581839
predator,27,1,22.00999999999999,3.0781685847921967,15.14526133127916,20.31231178773829,2,100,26.42229378598284,0,0.5299858378581839
predator,27,2,12.144999999999982,3.0415048317488766,14.982298610375967,20.613000883056454,3,100,26.81136652449828,0,0.5299858378581839
predator,27,3,10.493999999999971,3.0415048317488766,15,20.613000883056454,3,100,26.81136652449828,0,0.5299858378581839
predator,28,1,13.828000000000031,2.730830081783841,15.157866616865258,20.38223874929287,3,100,26.928147778985906,0,0.5299858378581839
predator,28,2,13.761000000000024,2.730830081783841,15.157866616865258,20.38223874929287,3,100,26.928147778985906,0,0.5299858378581839
predator,28,3,13.694999999999993,3.467097906157428,15,20.55548015368169,1,100,26.526359914246697,0,0.5299858378581839
