species,gen,rank,time,speed,turn speed,sight,type,size,starting hunger,low mutation boundary,mutation range
predator,1,1,15.048,4.974659739921585,15.433815744124338,19.80662645068097,2,100,25.308884825063217,0,0.5299858378581839
predator,1,2,11.748000000000001,4.834747178102766,15.223838251571426,19.646954956204432,2,100,25.338045925665423,0,0.5299858378581839
predator,1,3,10.099,4.309944354041287,15,19.464162267443953,3,100,25.307526368784075,0,0.5299858378581839
predator,2,1,13.397,4.295477869108334,14.98334583381485,19.462617342235696,3,100,25.333639153641663,0,0.5299858378581839
predator,2,2,10.163000000000002,4.392392048024342,15.321018115705295,19.52057692644037,2,100,25.654974454740017,0,0.5299858378581839
predator,2,3,10.032,4.959727346861485,15,19.51938392079639,1,100,25.23738497571998,0,0.5299858378581839
predator,3,1,26.366000000000003,4.942402813839725,15.121603256350777,19.2377166565056,1,100,24.96029447912108,0,0.5299858378581839
predator,3,2,15.114,4.942402813839725,15.121603256350777,19.2377166565056,1,100,24.96029447912108,0,0.5299858378581839
predator,3,3,13.398999999999997,4.942402813839725,15,19.2377166565056,1,100,24.96029447912108,0,0.5299858378581839
predator,4,1,28.017999999999994,4.975974783088448,15.03535982348295,19.300771232398947,3,100,24.955569230867724,0,0.5299858378581839
predator,4,2,13.037000000000006,5.635182100635633,15.286597101139076,18.995060514083207,3,100,24.56525221110116,0,0.5299858378581839
predator,4,3,13.033999999999999,5.183939571146548,15,18.821145740674314,3,100,24.547825761781283,0,0.5299858378581839
predator,5,1,14.782999999999987,4.8967191507242935,15.2534740169443,19.23016412813581,3,100,24.628515580990832,0,0.5299858378581839
predator,5,2,11.582999999999998,4.933521855092839,14.974053081387302,19.30887875271348,1,100,24.920767632797496,0,0.5299858378581839
predator,5,3,9.932000000000002,5.378614322955413,15,19.061280111949785,1,100,24.987282211002462,0,0.5299858378581839
predator,6,1,13.13300000000001,4.894183523884288,14.820388125019864,19.15294702330311,1,100,24.88155340657129,0,0.5299858378581839
predator,6,2,11.615000000000009,4.894183523884288,14.820388125019864,19.15294702330311,1,100,24.88155340657129,0,0.5299858378581839
predator,6,3,11.516000000000005,4.894183523884288,15,19.15294702330311,1,100,24.88155340657129,0,0.5299858378581839
predator,7,1,21.551000000000016,4.770512337626625,15.405535394256496,19.5538850961422,3,100,25.10738948717413,0,0.5299858378581839
predator,7,2,14.914999999999992,5.027709855701609,15.193380682912869,19.43726623849988,2,100,25.010760001083543,0,0.5299858378581839
predator,7,3,11.582999999999998,5.005365299432596,15,19.177784865632113,3,100,24.99880175968102,0,0.5299858378581839
predator,8,1,19.86699999999999,4.827936292525454,14.963998494463954,19.076274007913227,2,100,25.226386448251738,0,0.5299858378581839
predator,8,2,16.601,4.920556676451428,15.165550701664335,19.25325308967566,2,100,25.317897809525142,0,0.5299858378581839
predator,8,3,13.168000000000006,4.920556676451428,15,19.25325308967566,2,100,25.317897809525142,0,0.5299858378581839
predator,9,1,19.86700000000002,5.098577605692927,14.986857558861182,18.98667104377135,1,100,25.280892964530807,0,0.5299858378581839
predator,9,2,16.564999999999998,5.068537423307412,15.485412019219737,19.422232571835487,1,100,25.279898194668903,0,0.5299858378581839
predator,9,3,16.433999999999997,5.020242301728743,15,18.921873902509336,3,100,24.882045383478264,0,0.5299858378581839
predator,10,1,19.56899999999999,4.523930866702788,15.031085557132233,18.719720451370044,1,100,24.31892862142833,0,0.5299858378581839
predator,10,2,13.165999999999997,5.069018889040455,15.031085557132233,18.88819860050943,2,100,25.075677815725395,0,0.5299858378581839
predator,10,3,13.165999999999997,4.523930866702788,15,18.719720451370044,1,100,24.31892862142833,0,0.5299858378581839
predator,11,1,16.335000000000008,4.372640686361779,15.041616817498458,18.396063500930076,3,100,24.533253930764854,0,0.5299858378581839
predator,11,2,11.451999999999998,4.516973444457565,14.844571516333438,18.413293392534623,3,100,24.72286985787599,0,0.5299858378581839
predator,11,3,11.418000000000006,4.516973444457565,15,18.413293392534623,3,100,24.72286985787599,0,0.5299858378581839
predator,12,1,17.98600000000002,4.339431747435107,15.195625610242464,18.329083778326055,3,100,24.415016696797974,0,0.5299858378581839
predator,12,2,14.816000000000003,4.500491491659119,14.712814870339121,18.38689344761429,2,100,24.822995369700962,0,0.5299858378581839
predator,12,3,11.581999999999994,4.4968849174597825,15,18.23881626207286,3,100,25.083055331738212,0,0.5299858378581839
predator,13,1,14.883999999999986,4.423347905476556,15.11550595499308,18.303740759809727,3,100,25.15200602111112,0,0.5299858378581839
predator,13,2,13.332999999999998,4.300870703024667,14.954407491774237,18.34721418026377,2,100,25.420916561755508,0,0.5299858378581839
predator,13,3,13.300999999999988,4.289219380973508,15,18.38556570558988,3,100,25.35520234502719,0,0.5299858378581839
predator,14,1,13.331999999999994,4.51083220558195,14.969526493138272,18.225352411809467,1,100,25.435284059336034,0,0.5299858378581839
predator,14,2,13.267999999999972,4.51083220558195,14.969526493138272,18.225352411809467,1,100,25.435284059336034,0,0.5299858378581839
predator,14,3,10.132999999999981,4.51083220558195,15,18.225352411809467,1,100,25.435284059336034,0,0.5299858378581839
predator,15,1,13.562000000000012,4.537424239114634,15.220227593930609,17.878500959996355,1,100,25.841552782240885,0,0.5299858378581839
predator,15,2,13.49799999999999,4.569925740843368,15.499417679906529,17.991686626983835,1,100,25.602354949711422,0,0.5299858378581839
predator,15,3,11.962999999999965,4.381113486297868,15,18.059113753483793,3,100,26.09728088446314,0,0.5299858378581839
predator,16,1,16.805999999999983,4.409495702512483,15.362689589469332,18.284264646826454,2,100,25.96266269201652,0,0.5299858378581839
predator,16,2,13.26600000000002,4.429735708729591,15.435380499421193,17.89799810902602,1,100,25.267678305288197,0,0.5299858378581839
predator,16,3,11.716000000000008,4.106881190866468,15,18.276662379470135,3,100,25.505923120319835,0,0.5299858378581839
predator,17,1,19.93100000000004,4.460456376979184,15.410243732612807,17.907741680455764,2,100,25.224192775498054,0,0.5299858378581839
predator,17,2,13.333000000000027,4.463047158898947,15.019846594922093,17.92256980718173,2,100,25.26745222280684,0,0.5299858378581839
predator,17,3,9.964999999999975,4.531971984090711,15,17.99082655771748,2,100,25.041701103182174,0,0.5299858378581839
predator,18,1,14.81699999999995,4.697984418307568,14.809423680902798,17.914308376218,3,100,24.945402762056005,0,0.5299858378581839
predator,18,2,13.168000000000006,4.7485333991653,15.039659636674468,18.236741048826705,3,100,24.969828965543158,0,0.5299858378581839
predator,18,3,11.58299999999997,4.857462446323715,15,18.36048461159145,3,100,25.114231079655923,0,0.5299858378581839
predator,19,1,18.21599999999995,4.697090136112559,15.03882299524477,18.384035108743145,2,100,25.110132455987145,0,0.5299858378581839
predator,19,2,16.531999999999982,4.697090136112559,15.03882299524477,18.384035108743145,2,100,25.110132455987145,0,0.5299858378581839
predator,19,3,11.614999999999952,4.697090136112559,15,18.384035108743145,2,100,25.110132455987145,0,0.5299858378581839
predator,20,1,16.66300000000001,4.477141945161382,15.043094199745934,18.13130854687359,3,100,25.574262263780227,0,0.5299858378581839
predator,20,2,15.048000000000002,4.030697193940718,15.089524435753901,19.008344142414305,3,100,25.68850202173721,0,0.5299858378581839
predator,20,3,13.298999999999978,4.030697193940718,15,19.008344142414305,3,100,25.68850202173721,0,0.5299858378581839
predator,21,1,20.031999999999982,3.9409835427951303,15.092893274376,19.176557580745907,1,100,25.560213642334695,0,0.5299858378581839
predator,21,2,11.813000000000045,3.6573563631079877,15.109757741733786,19.435953134680787,2,100,25.8943651436826,0,0.5299858378581839
predator,21,3,10.098000000000013,4.140082267049813,15,18.960917604758915,2,100,25.657988253668375,0,0.5299858378581839
predator,22,1,13.333000000000027,3.958597095586142,15.096330341913466,19.215772608480854,1,100,25.451272243338078,0,0.5299858378581839
predator,22,2,11.650000000000034,3.958597095586142,15.096330341913466,19.215772608480854,1,100,25.451272243338078,0,0.5299858378581839
predator,22,3,10.032999999999959,4.023809649059423,15,19.168590762239887,1,100,25.45878163316218,0,0.5299858378581839
predator,23,1,18.31400000000002,3.841862688233337,14.84292364150577,19.379720225335717,1,100,25.46691310256263,0,0.5299858378581839
predator,23,2,13.331000000000017,3.841862688233337,14.84292364150577,19.379720225335717,1,100,25.46691310256263,0,0.5299858378581839
predator,23,3,11.647999999999968,3.841862688233337,15,19.379720225335717,1,100,25.46691310256263,0,0.5299858378581839
predator,24,1,16.598000000000013,3.793161958673693,14.686482793129514,19.5210584780605,2,100,25.332064275339096,0,0.5299858378581839
predator,24,2,13.298000000000002,3.793161958673693,14.686482793129514,19.5210584780605,2,100,25.332064275339096,0,0.5299858378581839
predator,24,3,11.68100000000004,3.793161958673693,15,19.5210584780605,2,100,25.332064275339096,0,0.5299858378581839
predator,25,1,18.348000000000013,3.8993070562909202,15.066608552184366,19.539145700731105,1,100,25.32374913369804,0,0.5299858378581839
